[2019-10-01 19:59:30 $1828.0]	INFO	Server is reloading all workers now
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=2096] exit timeout, forced kill
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=2098] exit timeout, forced kill
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=2104] exit timeout, forced kill
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=2099] exit timeout, forced kill
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=2100] exit timeout, forced kill
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=2101] exit timeout, forced kill
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=2103] exit timeout, forced kill
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=2102] exit timeout, forced kill
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_check_exit_status: worker#9[pid=2098] abnormal exit, status=0, signal=9
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_check_exit_status: worker#10[pid=2104] abnormal exit, status=0, signal=9
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_check_exit_status: worker#14[pid=2103] abnormal exit, status=0, signal=9
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_check_exit_status: worker#15[pid=2102] abnormal exit, status=0, signal=9
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_check_exit_status: worker#13[pid=2101] abnormal exit, status=0, signal=9
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_check_exit_status: worker#12[pid=2100] abnormal exit, status=0, signal=9
[2019-10-01 19:59:33 $1828.0]	WARNING	swManager_check_exit_status: worker#11[pid=2099] abnormal exit, status=0, signal=9
[2019-10-01 20:00:10 $1828.0]	INFO	Server is reloading all workers now
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=2115] exit timeout, forced kill
[2019-10-01 20:00:13 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=2120] exit timeout, forced kill
